Twitter for iPhone,12231000,THE BEST IS YET TO COME! https://t.co/SOn6wRV9Zs,1/31/2020 4:22,28401,109439
Twitter for iPhone,12230800,Americans across the political spectrum are disgusted by the Washington Democrats' Partisan Hoaxes Witch Hunts & Con Jobs. Registered Democrats and Independents are leaving the Democrat Party in droves & we are welcoming these voters to the Republican Party w/ wide open arms! https://t.co/UCdQXY3vPn,1/31/2020 3:16,20892,76680
Twitter for iPhone,12230800,"Washington Dems have spent the last 3 years trying to overturn the last election ""and we will make sure they face another crushing defeat in the NEXT ELECTION. Together we are going to win back the House we are going to hold the Senate & we are going to keep the White House! https://t.co/VshQceiwUA",1/31/2020 3:07,17271,63458
Twitter for iPhone,12230800,"To keep America Safe we have fully rebuilt the U.S. Military ""it is now stronger more powerful and more lethal than ever before. Thanks to the courage of American Heroes the ISIS Caliphate has been DESTROYED & its founder & leader ""the animal known as al-Baghdadi ""is DEAD! https://t.co/9LXDf6mJKf",1/31/2020 3:04,14714,60229
Twitter for iPhone,12230800,This November we are going to defeat the Radical Socialist Democrats and win the Great State of Iowa in a Historic Landslide! #KAG2020 https://t.co/jYIbSdyGjU,1/31/2020 2:54,23337,97074
Twitter for iPhone,12230800,Thank you Iowa I love you! https://t.co/zooBXErdcV,1/31/2020 2:48,19533,88181
Twitter for iPhone,12230400,Great poll in Iowa where I just landed for a Big Rally! #KAG2020  https://t.co/4YCo01XYCn,1/31/2020 0:19,15159,64727
Twitter for iPhone,12230000,Working closely with China and others on Coronavirus outbreak. Only 5 people in U.S. all in good recovery.,1/30/2020 22:04,22918,138150
Twitter for iPhone,12230000,Leaving Michigan now great visit heading for Iowa. Big Rally!,1/30/2020 21:58,12179,75097
Twitter for iPhone,12229800,BIGGEST TRADE DEAL EVER MADE the USMCA was signed yesterday and the Fake News Media barely mentioned it. They never thought it could be done. They have zero credibility!,1/30/2020 20:37,31684,146653
Twitter for iPhone,12229800,Just landed in Michigan. Car companies and many others are building and expanding here. Great to see!,1/30/2020 20:34,16819,101482
Twitter for iPhone,12229800,"Happy birthday today to two of the very best in Congress""@RepMikeJohnson (age 48) and @RepLeeZeldin (age 40""big one!). Two Great American Patriots!!",1/30/2020 20:13,8872,41298
Twitter for iPhone,12229800,Congressman @MichaelCBurgess has done a Great job representing the people of Texas. He continues to protect your very important Second Amendment. Mike is Strong on Crime and the Border he Loves our Great Vets and Military. Mike has my Complete and Total Endorsement!,1/30/2020 20:11,9134,39616
Twitter for iPhone,122298AX,Congressman @MichaelCBurgess has done a Great job representing the people of Texas. He continues to protect your very important Second Amendment. Mike is Strong on Crime and the Border he Loves our Great Vets and Military. Mike has my Complete and Total Endorsement!,1/30/2020 20:11,9134,39616
Twitter for iPhone,12229800,Congressman Brian @Babin4Congress of Texas has been a strong supporter of our #MAGA Agenda. He is strong on the Second Amendment and Securing our Border he Loves our Great Vets and Military. Brian has my Complete and Total Endorsement!,1/30/2020 20:10,8196,34195
Twitter for iPhone,12229700,https://t.co/Kf24nTnc7E,1/30/2020 20:02,5386,20211
Twitter for iPhone,12229700,https://t.co/OWYuHqbgAj,1/30/2020 20:02,5138,19589
Twitter for iPhone,12229700,https://t.co/XWKEY5MIXL,1/30/2020 20:02,2253,7446
Twitter for iPhone,12229700,https://t.co/alTg16dgM5,1/30/2020 20:01,2630,8683
Twitter for iPhone,12229700,Great photos from a SOUTHERN BORDER WALL Briefing with Secretary of Defense Mark @EsperDoD! https://t.co/rpGHpdoIa6,1/30/2020 20:01,10669,42568
Twitter for iPhone,12229100,Schiff blasted for not focusing on California homeless. @foxandfriends  His District is in terrible shape. He is a corrupt pol who only dreams of the Impeachment Hoax. In my opinion he is mentally deranged!,1/30/2020 15:39,28183,123878
Twitter for iPhone,12227200,https://t.co/66006PDuKf,1/30/2020 3:27,38985,148875
Twitter for iPhone,12226800,https://t.co/pXexddCGtT,1/30/2020 0:32,20556,60214
